precision_bits,layer_name,mae,rmse,cosine_similarity,kl_divergence
10,model.layers.6.linear_attn.out_proj.input,0.002262536436319351,0.005474747624248266,0.9998607635498047,0.00014400803775060922
10,model.layers.6.linear_attn.out_proj.output,0.0022881743498146534,0.003979948349297047,0.9997127056121826,8.517020614817739e-05
10,model.layers.6.linear_attn.output,0.0022881743498146534,0.003979948349297047,0.9997127056121826,8.517020614817739e-05
10,model.layers.6.mlp.act_fn.input,0.023153256624937057,0.03187352418899536,0.9990481734275818,0.004686120431870222
10,model.layers.6.mlp.act_fn.output,0.007176780607551336,0.012344751507043839,0.9984982013702393,0.001053797546774149
10,model.layers.6.mlp.down_proj.input,0.0033670179545879364,0.005682197865098715,0.9954892992973328,0.00017632576054893434
10,model.layers.6.mlp.down_proj.output,0.0022042959462851286,0.0029848129488527775,0.9955193400382996,4.527517012320459e-05
10,model.layers.6.mlp.gate_proj.input,0.047898467630147934,0.06490962207317352,0.9982028603553772,0.01788368821144104
10,model.layers.6.mlp.gate_proj.output,0.023153256624937057,0.03187352418899536,0.9990481734275818,0.004686120431870222
10,model.layers.6.mlp.input,0.047898467630147934,0.06490962207317352,0.9982028603553772,0.01788368821144104
10,model.layers.6.mlp.output,0.0022042959462851286,0.0029848129488527775,0.9955193400382996,4.527517012320459e-05
10,model.layers.6.mlp.up_proj.input,0.047898467630147934,0.06490962207317352,0.9982028603553772,0.01788368821144104
10,model.layers.6.mlp.up_proj.output,0.014004183001816273,0.018750952556729317,0.9981045126914978,0.00265806564129889
10,model.layers.6.output,0.004254435189068317,0.006431716028600931,0.9995028972625732,0.00023016316117718816
10,model.layers.6.post_attention_layernorm.input,0.004197006579488516,0.006285869982093573,0.9994938373565674,0.00022006488870829344
10,model.layers.6.post_attention_layernorm.output,0.047898467630147934,0.06490962207317352,0.9982028603553772,0.01788368821144104
10,model.layers.7.input,0.004254435189068317,0.006431716028600931,0.9995028972625732,0.00023016316117718816
10,model.layers.7.input_layernorm.input,0.004254435189068317,0.006431716028600931,0.9995028972625732,0.00023016316117718816
10,model.layers.7.input_layernorm.output,0.044340651482343674,0.06040522828698158,0.9986509084701538,0.016690120100975037
10,model.layers.7.mlp.act_fn.input,0.020400991663336754,0.02732250466942787,0.9992052912712097,0.0035349158570170403
10,model.layers.7.mlp.act_fn.output,0.0064079370349645615,0.01031528040766716,0.9987293481826782,0.0007000036421231925
10,model.layers.7.mlp.down_proj.input,0.0030459698755294085,0.004953195806592703,0.9955166578292847,0.00012030154175590724
10,model.layers.7.mlp.down_proj.output,0.0019451084081083536,0.002632064511999488,0.9964163303375244,3.3807453291956335e-05
10,model.layers.7.mlp.gate_proj.input,0.04680762439966202,0.0629236251115799,0.9981480836868286,0.021319540217518806
10,model.layers.7.mlp.gate_proj.output,0.020400991663336754,0.02732250466942787,0.9992052912712097,0.0035349158570170403
10,model.layers.7.mlp.input,0.04680762439966202,0.0629236251115799,0.9981480836868286,0.021319540217518806
10,model.layers.7.mlp.output,0.0019451084081083536,0.002632064511999488,0.9964163303375244,3.3807453291956335e-05
10,model.layers.7.mlp.up_proj.input,0.04680762439966202,0.0629236251115799,0.9981480836868286,0.021319540217518806
10,model.layers.7.mlp.up_proj.output,0.013943776488304138,0.01830466464161873,0.9974930882453918,0.001707742689177394
10,model.layers.7.output,0.0038351244293153286,0.00545905577018857,0.9987459182739258,0.00014188072236720473
10,model.layers.7.post_attention_layernorm.input,0.00404225243255496,0.005724012386053801,0.9989792704582214,0.00015514413826167583
10,model.layers.7.post_attention_layernorm.output,0.04680762439966202,0.0629236251115799,0.9981480836868286,0.021319540217518806
10,model.layers.7.self_attn.k_norm.input,0.018708590418100357,0.02624342031776905,0.9993230700492859,0.008600924164056778
10,model.layers.7.self_attn.k_norm.output,0.0494302399456501,0.06828466802835464,0.9989680647850037,0.05797214433550835
10,model.layers.7.self_attn.k_proj.input,0.044340651482343674,0.06040522828698158,0.9986509084701538,0.016690120100975037
10,model.layers.7.self_attn.k_proj.output,0.018708590418100357,0.02624342031776905,0.9993230700492859,0.00372272334061563
10,model.layers.7.self_attn.o_proj.input,0.002737876493483782,0.005597027018666267,0.9994309544563293,0.00012517865980044007
10,model.layers.7.self_attn.o_proj.output,0.0018418552353978157,0.003350871382281184,0.9995833039283752,6.907267379574478e-05
10,model.layers.7.self_attn.output,0.0018418552353978157,0.003350871382281184,0.9995833039283752,6.907267379574478e-05
10,model.layers.7.self_attn.q_norm.input,0.020501457154750824,0.029071973636746407,0.9995536208152771,0.13213425874710083
10,model.layers.7.self_attn.q_norm.output,0.03394874185323715,0.04647786170244217,0.9993736147880554,0.09032544493675232
10,model.layers.7.self_attn.q_proj.input,0.044340651482343674,0.06040522828698158,0.9986509084701538,0.016690120100975037
10,model.layers.7.self_attn.q_proj.output,0.029160499572753906,0.041130971163511276,0.9997956156730652,0.03198559582233429
10,model.layers.7.self_attn.v_proj.input,0.044340651482343674,0.06040522828698158,0.9986509084701538,0.016690120100975037
10,model.layers.7.self_attn.v_proj.output,0.021305765956640244,0.030770447105169296,0.9991956353187561,0.004158176947385073
10,model.layers.8.input,0.0038351244293153286,0.00545905577018857,0.9987459182739258,0.00014188072236720473
10,model.layers.8.input_layernorm.input,0.0038351244293153286,0.00545905577018857,0.9987459182739258,0.00014188072236720473
10,model.layers.8.input_layernorm.output,0.056136347353458405,0.07593516260385513,0.9983228445053101,0.02548622153699398
10,model.layers.8.linear_attn.conv1d.input,0.03704012185335159,0.05241348594427109,0.9993928670883179,5.0255045890808105
10,model.layers.8.linear_attn.conv1d.output,0.005934564862400293,0.01766994781792164,0.9996169805526733,0.28292375802993774
10,model.layers.8.linear_attn.in_proj_a.input,0.056136347353458405,0.07593516260385513,0.9983228445053101,0.02548622153699398
10,model.layers.8.linear_attn.in_proj_a.output,0.07437872886657715,0.09032324701547623,0.9982683062553406,0.010150961577892303
10,model.layers.8.linear_attn.in_proj_b.input,0.056136347353458405,0.07593516260385513,0.9983228445053101,0.02548622153699398
10,model.layers.8.linear_attn.in_proj_b.output,0.05382063239812851,0.06956999003887177,0.9993448257446289,0.0033031292259693146
10,model.layers.8.linear_attn.in_proj_qkv.input,0.056136347353458405,0.07593516260385513,0.9983228445053101,0.02548622153699398
